last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
McCullers Jr., Lance,R,,75.1,26,94.1,,43.2,70.3
Davies, Zach,R,,98.6,78,96.9,,,66
Bummer, Aaron,L,,83.1,16.5,,,82.1,
Finnegan, Kyle,R,,98.8,,,,46.8,
Suero, Wander,R,,,60,69.4,,,71.2
Clay, Sam,L,,90.9,,88.7,,33.2,
Dolis, Rafael,R,,91.2,,,,36.1,
Loup, Aaron,L,,93.4,14.4,98.7,,,78.3
Matz, Steven,L,,99.4,,86.5,,39.6,82.3
Mayza, Tim,L,,93.5,,,,18.3,
Manaea, Sean,L,,96.7,,94.7,,,26.6
Castro, Miguel,R,,97.5,,92.2,,47.5,
Kintzler, Brandon,R,,92.3,,96.6,,17.7,
Lucchesi, Joey,L,,87.6,85.1,,,,30.8
Sadler, Casey,R,,81.5,27.1,,,,62.4
Luetge, Lucas,L,,,43.9,,,45,85.8
Fleming, Josh,L,,92.2,47.2,82.4,,,61.2
Holmes, Clay,R,,76.6,,,,20,72.3
Yarbrough, Ryan,L,,97.4,40.5,93,,,73.6
Springs, Jeffrey,L,,98.7,,98.8,,31.2,
Valdez, Phillips,R,,96.4,,87,,37.7,
Dunning, Dane,R,,78.4,35.8,99,,58.9,97.9
King, John,L,,83.3,53.2,95.5,,37.8,
Antone, Tejay,R,,87,,,,53.4,85.4
Bleier, Richard,L,,81.7,38,,,53.7,
Pop, Zach,R,,81.6,,,,32.9,
Clase, Emmanuel,R,,,58.8,,,33.2,
González, Victor,L,,99.3,,,,15.9,
Jansen, Kenley,R,,93.8,78.2,,,48.1,
Dobnak, Randy,R,,88,,97.1,,20.4,
de Geus, Brett,R,,85.2,28.2,,,,78.7
Rogers, Taylor,L,,94.4,,,,43.1,
Barnes, Charlie,L,,97.7,,99.2,,21.9,61.1
Peacock, Matt,R,,94.3,,97.9,,11,
Smith, Riley,R,,87.4,32.5,95.1,,26.5,72.9
Anderson, Brett,L,,93.5,56.4,94,,43.1,71.6
Cousins, Jake,R,,97.5,,,,39.3,
Garcia, Bryan,R,,96.4,,97.3,,28.4,
Johnson, Pierce,R,,98.3,,,,,52.1
Stammen, Craig,R,,92.5,62.6,,,,72.3
Arrieta, Jake,R,,85.1,,91,,42.9,78.3
Wood, Alex,L,,99.1,,94.4,,25.9,
Santana, Edgar,R,,81.2,,,,14.3,
Mahle, Tyler,R,99.7,,,,,39.5,
Barnes, Matt,R,99.7,,,92.4,,,69.8
Anderson, Ian,R,99.6,,,98.6,,,64.1
Neidert, Nick,R,99.6,,,98.1,,39.5,85
Banda, Anthony,L,99.6,,,96.1,,,45.9
Gomber, Austin,L,99.5,,,96.3,,34.8,93.6
Gray, Josiah,R,99.5,,,99.2,,24.8,23.7
Robles, Hansel,R,99.5,,,95.3,,41.5,
Williams, Devin,R,99.5,99.4,35.5,79,,,
Richards, Trevor,R,99.4,,,76.4,,,18.9
Giolito, Lucas,R,99.3,,,98.7,,28.4,76.2
Smyly, Drew,L,99.3,,70.7,,,,26.6
Heaney, Andrew,L,99.3,,,99.2,,,42.1
Plesac, Zach,R,99.3,,,98.8,,54.2,62.5
Odorizzi, Jake,R,99.2,,63,,,47.2,66.7
Cotton, Jharel,R,99.2,,,77.4,,30,68.2
Morgan, Eli,R,99.1,,91.2,85.7,,35.8,67.6
Kowar, Jackson,R,99.1,,,86.5,,43.8,76.9
García, Jarlín,L,99.1,,,98.4,,37.1,
Rogers, Josh,L,99.1,,,99.2,,17.8,
Gallegos, Giovanny,R,99.1,,,98.3,,13.1,
Stanek, Ryne,R,99.1,,,,,21.9,
Urquidy, José,R,99,,,97.7,,51.8,81.2
Lowther, Zac,L,99,,,99.2,,54.3,94.2
Hader, Josh,L,99,,,97.6,,17.5,
Weathers, Ryan,L,98.9,99.1,,97.9,,36.2,
Doolittle, Sean,L,98.9,,,,,44.4,37.7
Smith, Caleb,L,98.8,,,99.4,,34.8,53.7
Cabrera, Génesis,L,98.8,95.8,,98.9,,,74.7
Swanson, Erik,R,98.8,,,,,31,
Bowden, Ben,L,98.8,,,98.8,,20.9,
Abreu, Albert,R,98.7,99,,98.8,,27.9,
Estévez, Carlos,R,98.7,,,94.5,,34.1,
Hoffman, Jeff,R,98.7,,,98.6,,45.3,83.7
Faria, Jake,R,98.6,,,,,41.3,94
Paddack, Chris,R,98.6,,,93,,,96.9
Kuhl, Chad,R,98.6,97.1,,95.5,,31.1,74.3
Luzardo, Jesús,L,98.5,98.3,,98.4,,,12.9
Wacha, Michael,R,98.5,97.7,55.8,89.1,,,83.7
Gonzales, Marco,L,98.4,99.5,73.9,96.6,,,77.7
Long, Sammy,L,98.4,,,93.6,,52.1,73.4
Holland, Derek,L,98.4,98.8,,95.6,,,18
Diekman, Jake,L,98.4,98.5,,,,36.3,
Irvin, Cole,L,98.3,96.9,,98.9,,18.7,54.9
Vesia, Alex,L,98.3,,,99.6,,37.6,
Anderson, Tyler,L,98.3,97.2,46.7,97.3,,,49.6
Heuer, Codi,R,98.3,,,88.1,,33.9,
Canning, Griffin,R,98.3,,,94.7,,14,39.2
Cole, Gerrit,R,98.3,98.6,,98.7,,26,74.1
Moore, Matt,L,98.2,,74.1,98.4,,,64.9
Ryu, Hyun Jin,L,98.1,,54.8,99.3,,27.8,83.5
Stephenson, Robert,R,98,,,,,35,55.7
De Los Santos, Enyel,R,98,,,99.5,,12.5,
Walker, Taijuan,R,98,96.8,,,,35.8,72.8
Ynoa, Huascar,R,97.9,97.7,,99,,34.4,
Wilson, Justin,L,97.9,,57.5,,,37.6,
Hill, Tim,L,97.9,96,,,,46.1,
Lauer, Eric,L,97.9,,69.2,97.1,,44.7,46.9
Harvey, Matt,R,97.8,97.9,,97.8,,31.7,62.6
Foster, Matt,R,97.8,,75.3,96.4,,36.8,
Díaz, Edwin,R,97.7,,,,,28.1,
Whitlock, Garrett,R,97.7,97.9,,91.5,,29.6,
Rodón, Carlos,L,97.6,,,98.9,,28.3,63.5
Wells, Alexander,L,97.6,,,98.5,,31.6,76.1
Gausman, Kevin,R,97.6,,,93.4,,18.8,
McGee, Jake,L,97.6,,,,,22.4,
Hudson, Daniel,R,97.5,,,96.9,,22.7,
Goudeau, Ashton,R,97.5,,,99,,,84.7
Kennedy, Ian,R,97.5,,33.2,98.6,,,62
Howard, Sam,L,97.4,,,97.1,,25.6,
Pivetta, Nick,R,97.4,,,98.5,,34.4,94.3
Jax, Griffin,R,97.4,,,99.4,,41.3,66.1
Rodríguez, Richard,R,97.4,,,,,47.3,
Vest, Will,R,97.4,,,99.3,,32.3,
Littell, Zack,R,97.4,,,,,43.2,
Diaz, Miguel,R,97.3,,,93.4,,40.5,
Sulser, Cole,R,97.3,,,82.4,,39.4,71.8
Pérez, Martín,L,97.3,97.1,61.3,99.4,,,40.7
Cobb, Alex,R,97.3,96.8,,,,,58.1
Bieber, Shane,R,97.3,,39.3,98.6,,16.8,83.8
Evans, Demarcus,R,97.2,,53,,,27.5,
McKenzie, Triston,R,97.2,,,96.9,,42.3,67.9
Brogdon, Connor,R,97.2,,62,99.4,,,
Means, John,L,97.2,,,98.1,,52.7,56.2
Sborz, Josh,R,97.2,,,,,11,79
Colomé, Alex,R,97.1,,51,,,,
Bednar, David,R,97.1,,,,,,77
Steckenrider, Drew,R,97.1,,,97.9,,,49.5
Webb, Jacob,R,97,,,96.9,,,73.2
Wisler, Matt,R,96.9,,,,,25.8,
Akin, Keegan,L,96.9,,,95.3,,29,46.2
Guerra, Deolis,R,96.9,96.3,,92,,34.9,97.7
Eovaldi, Nathan,R,96.9,,69.2,,,43,78
Nola, Aaron,R,96.9,95.7,46.5,99.3,,,86.6
Gant, John,R,96.8,96.3,27,96.5,,33.3,79.2
Ponce de Leon, Daniel,R,96.8,,59.5,97.4,,,70
McClanahan, Shane,L,96.8,,,98.7,,22.8,54.8
Duffy, Danny,L,96.7,94.3,,92.3,,40.4,92.5
López, Jorge,R,96.6,94.8,,98.3,,23.8,73
Bass, Anthony,R,96.6,94.2,,,,36.7,
Brothers, Rex,L,96.6,,,,,13.4,
Megill, Tylor,R,96.5,,,98.2,,22.3,54.9
Sawamura, Hirokazu,R,96.5,,,,,24.2,
Patton, Spencer,R,96.4,,,,,31.3,
Howard, Spencer,R,96.3,95.6,45.7,99.3,,48.2,99
Kopech, Michael,R,96.3,,,90.9,,42.3,67.8
Hendriks, Liam,R,96.2,,,,,21,64.7
Shreve, Chasen,L,96.1,,,,,41.6,
Quantrill, Cal,R,96.1,96.4,,97.3,,34.6,30.1
López, Reynaldo,R,95.9,,,92.3,,43.1,73.2
Kranick, Max,R,95.9,,,99.4,,55.4,54.8
Peralta, Wily,R,95.9,97.3,,,,16.2,
Farmer, Buck,R,95.8,,,89.8,,13,
Chafin, Andrew,L,95.7,94.4,,,,27.4,
Santillan, Tony,R,95.7,,,96.8,,43.2,
Allard, Kolby,L,95.7,,46.8,99,,,74.6
Jackson, Luke,R,95.7,,,,,41.9,71.8
Foltynewicz, Mike,R,95.7,95,,98.1,,24.9,40.9
Alcala, Jorge,R,95.6,93.5,,97.1,,29.9,
Peralta, Wandy,L,95.6,95.6,,88.1,,28.6,
Gray, Jon,R,95.5,,,97.9,,31.1,80.2
Crochet, Garrett,L,95.4,,,99,,33.4,
Weaver, Luke,R,95.4,,54.5,85.8,,,51.8
Kremer, Dean,R,95.4,,51.8,93.1,,,90.5
Sampson, Adrian,R,95.3,98.7,14.5,99.2,,34,
Dunn, Justin,R,95.3,,,87.9,,39.6,56.1
Workman, Brandon,R,95.3,,45.4,,,,83.9
Machado, Andres,R,95.3,92.2,,92.4,,37.3,
Kikuchi, Yusei,L,95.3,,56.6,87.3,,31.6,
Falter, Bailey,L,95.2,94.8,,95.2,,57.9,54
Detwiler, Ross,L,95.1,94.4,23.3,94.7,,,68.8
Karinchak, James,R,95.1,,,,,,53.4
Peterson, David,L,95,95.6,,98.8,,25.1,
Arihara, Kohei,R,94.9,93.7,58.6,89.4,,29.3,81.9
LeBlanc, Wade,L,94.8,94.2,64.2,99,,,64.6
DeSclafani, Anthony,R,94.8,93.4,,97.2,,35.4,70.8
Oviedo, Luis,R,94.8,,,91.2,,42,95.7
Staumont, Josh,R,94.7,88.8,,,,,84.6
Bradley, Archie,R,94.6,95.2,,98.5,,,78.4
Plutko, Adam,R,94.6,,61.8,,,38.6,70.3
Tepera, Ryan,R,94.6,97.6,,91.4,,35.3,
Tate, Dillon,R,94.6,92.2,,99.1,,26.2,
Skubal, Tarik,L,94.5,94.2,,97.8,,27.3,82.7
deGrom, Jacob,R,94.4,,,89.9,,34.3,
Kelly, Joe,R,94.4,93,,98.3,,,62.2
Alvarado, José,L,94.3,93.1,32.5,,,,58.8
Gilbert, Logan,R,94.2,,,97.7,,36.4,72.2
Anderson, Chase,R,94.2,93.6,47.5,99.6,,,91.9
Wells, Tyler,R,94.2,95.5,,96.3,,49.4,54.8
Javier, Cristian,R,94.1,,,97.1,,39.7,81.1
Sanchez, Aaron,R,94,92.4,,97.9,,,80.8
Feyereisen, J.P.,R,93.9,,,89.9,,28.1,
Cortes, Nestor,L,93.8,92.1,40.4,98.5,,45.4,
Álvarez, José,L,93.8,93.9,51,89.2,,33.6,
Hendricks, Kyle,R,93.8,86.7,,87.3,,,81.1
